color,size,act,age,decision
YELLOW,SMALL,STRETCH,ADULT,yes
YELLOW,SMALL,STRETCH,ADULT,yes
YELLOW,SMALL,STRETCH,CHILD,no
YELLOW,SMALL,DIP,ADULT,no
YELLOW,SMALL,DIP,CHILD,no
YELLOW,LARGE,STRETCH,ADULT,yes
YELLOW,LARGE,STRETCH,ADULT,yes
YELLOW,LARGE,STRETCH,CHILD,no
YELLOW,LARGE,DIP,ADULT,no
YELLOW,LARGE,DIP,CHILD,no
PURPLE,SMALL,STRETCH,ADULT,yes
PURPLE,SMALL,STRETCH,ADULT,yes
PURPLE,SMALL,STRETCH,CHILD,no
PURPLE,SMALL,DIP,ADULT,no
PURPLE,SMALL,DIP,CHILD,no
PURPLE,LARGE,STRETCH,ADULT,yes
PURPLE,LARGE,STRETCH,ADULT,yes
PURPLE,LARGE,STRETCH,CHILD,no
PURPLE,LARGE,DIP,ADULT,no
PURPLE,LARGE,DIP,CHILD,no
